ultralytics/yolov5,ultralytics/yolov5.1,"['yolov3', 'yolov4', 'yolov5', 'object-detection', 'pytorch', 'onnx', 'coreml', 'ios', 'tflite', 'yolo', 'deep-learning', 'machine-learning', 'ml']",YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
jxmorris12/language_tool_python,jxmorris12/language_tool_python,"['python', 'nlp', 'grammar', 'spellchecker', 'grammar-parser', 'languagetool', 'grammar-checker']",a free python grammar checker 📝✅
openperceptionx/persformer_3dlane,OpenPerceptionX/PersFormer_3DLane,"['lane-detection', '3d-lane-detection', 'autonomous-driving', 'computer-vision', 'deep-learning']",[ECCV2022 oral] Perspective Transformer on 3D Lane Detection
overlappredator/overlappredator,prs-eth/OverlapPredator,"['point-cloud', 'registration', '3dvision', 'transformer', 'attention-mechanism']","[CVPR 2021, Oral] PREDATOR: Registration of 3D Point Clouds with Low Overlap. "
we0091234/chinese_license_plate_detection_recognition,we0091234/Chinese_license_plate_detection_recognition,"['deep-learning', 'pytorch', 'plate-recognition', 'yolov5']",yolov5 车牌检测   车牌识别   中文车牌识别 检测 支持13种中文车牌 支持双层车牌
aiff22/pynet,aiff22/PyNET,"['pynet', 'image-enhancement', 'image-processing', 'image-reconstruction', 'deep-learning', 'raw-to-rgb', 'computer-vision', 'mobile', 'photography', 'isp', 'camera', 'image-to-image-translation', 'raw', 'photos']",Generating RGB photos from RAW image files with PyNET
vector-ai/vectorai,vector-ai/vectorai,"['python', 'vector', 'embeddings', 'encodings', 'search', 'semantic-search', 'search-engine', 'machine-learning', 'artificial-intelligence', 'neural-networks', 'deep-learning', 'clustering', 'tensorflow', 'pytorch', 'transformers', 'vector-similarity', 'vector-search', 'vector-similarity-database', 'vector-analytics', 'compare-vectors']","Vector AI — A platform for building vector based applications. Encode, query and analyse data using vectors. "
hanqer/deep-hough-transform,Hanqer/deep-hough-transform,"['jittor', 'hough-transform', 'deep-learning']","Jittor and Pytorch code for paper ""Deep Hough Transform for Semantic Line Detection"" (ECCV 2020, PAMI 2021)"
clovaai/synthtiger,clovaai/synthtiger,"['ocr', 'recognition', 'synthetic', 'generation', 'dataset', 'deep-learning', 'ocr-recognition', 'text-recognition', 'icdar2021', 'scene-text-recognition', 'scene-text']","Official Implementation of SynthTIGER (Synthetic Text Image Generator), ICDAR 2021"
antao97/dgcnn.pytorch,antao97/dgcnn.pytorch,"['point-cloud', 'classification', 'segmentation', 'pytorch']",A PyTorch implementation of Dynamic Graph CNN for Learning on Point Clouds (DGCNN)
shadow2496/viton-hd,shadow2496/VITON-HD,"['pytorch', 'deep-learning']","Official PyTorch implementation of ""VITON-HD: High-Resolution Virtual Try-On via Misalignment-Aware Normalization"" (CVPR 2021)"
dome272/diffusion-models-pytorch,dome272/Diffusion-Models-pytorch,[],Pytorch implementation of Diffusion Models (https://arxiv.org/pdf/2006.11239.pdf)
jermmy/pytorch-quantization-demo,Jermmy/pytorch-quantization-demo,[],A simple network quantization demo using pytorch from scratch.
weiyithu/nerfingmvs,weiyithu/NerfingMVS,"['computer-vision', 'deep-learning', '3d-reconstruction', '3dvision', 'neural-radiance-fields', 'multi-view-stereo']",[ICCV 2021 Oral] NerfingMVS: Guided Optimization of Neural Radiance Fields for Indoor Multi-view Stereo
operatorai/modelstore,operatorai/modelstore,"['python-library', 'modelstore', 'machine-learning', 'data-science', 'scikit-learn', 'pytorch', 'tensorflow', 'mlops', 's3-storage', 'transformer', 'keras']","🏬 modelstore is a Python library that allows you to version, export, and save a machine learning model to your filesystem or a cloud storage provider."
stanislasbertrand/retinaface-tf2,StanislasBertrand/RetinaFace-tf2,"['face-detection', 'retinaface', 'tf2', 'tensorflow2', 'tensorflow', 'deep-learning', 'insightface']","RetinaFace (RetinaFace: Single-stage Dense Face Localisation in the Wild, published in 2019) reimplemented in Tensorflow 2.0, with pretrained weights available ! "
gangweix/acvnet,gangweiX/ACVNet,"['pytorch', 'stereo-matching', 'stereo-vision', 'cost-volume']",ACVNet: Attention Concatenation Volume for Accurate and Efficient Stereo Matching (CVPR 2022)
ai4bharat/indic-bert,AI4Bharat/indic-bert,"['indian-languages', 'bert', 'multilingual-models', 'language-model', 'nlp']",BERT-based Multilingual Model for Indian Languages
caillonantoine/rave,acids-ircam/RAVE,"['deep-learning', 'neural-network', 'audio', 'generative-model', 'ai']",Official implementation of the RAVE model: a Realtime Audio Variational autoEncoder
miemie2013/miemiedetection,miemie2013/miemiedetection,"['yolox', 'yolo', 'yolov3', 'ppyolo', 'fcos', 'ppyolov2', 'ppyoloe', 'ncnn', 'solo', 'solov2']",Pytorch and ncnn implementation of PPYOLOE、YOLOX、PPYOLO、PPYOLOv2、SOLOv2 an so on.
galliot-us/neuralet,galliot-us/neuralet,"['edge-ai', 'edgetpu', 'deep-learning', 'deep-neural-networks', 'jetson-nano', 'edge-computing', 'coral-tpu', 'jetsonnano', 'jetson-nano-developer-kit', 'ros-kinetic', 'ros', 'ros-melodic', 'object-detection', 'social-distancing', 'social-distancing-detection', 'edge-tpu']","Neuralet is an open-source platform for edge deep learning models on edge TPU, Jetson Nano, and more. "
vincentstimper/normalizing-flows,VincentStimper/normalizing-flows,"['normalizing-flow', 'variational-autoencoder', 'variational-inference', 'real-nvp', 'residual-flow', 'glow', 'pytorch', 'neural-spline-flow', 'density-estimation', 'invertible-neural-networks']",PyTorch implementation of normalizing flow models
graykode/commit-autosuggestions,graykode/commit-autosuggestions,"['commit-autosuggestions', 'natural-language', 'bert', 'text-generation', 'nlp']",A tool that AI automatically recommends commit messages.
haochen-wang409/u2pl,Haochen-Wang409/U2PL,"['mechine-learning', 'computer-vision', 'semantic-segmentation', 'semi-supervised-learning', 'contrastive-learning', 'cvpr2022', 'pytorch', 'cityscapes', 'pascal-voc', 'deep-learning']",[CVPR'22] Semi-Supervised Semantic Segmentation Using Unreliable Pseudo-Labels
sithu31296/semantic-segmentation,sithu31296/semantic-segmentation,"['semantic-segmentation', 'pytorch', 'transformer', 'vision-transformer', 'cityscapes', 'ade20k', 'camvid', 'coco-stuff', 'pascal-context', 'deep-learning', 'dataset']",SOTA Semantic Segmentation Models in PyTorch
sangwoomo/freezed,sangwoomo/FreezeD,"['generative-models', 'generative-adversarial-network', 'transfer-learning', 'gan']",Freeze the Discriminator: a Simple Baseline for Fine-Tuning GANs (CVPRW 2020)
deepvac/deepvac,DeepVAC/deepvac,"['pytorch', 'deepvac', 'python', 'tensorboard', 'quantization', 'amp', 'torchscript', 'onnx', 'ncnn', 'coreml', 'ddp', 'tensorrt']",PyTorch Project Specification.
sjtmusicteam/muskits,SJTMusicTeam/Muskits,"['music-synthesis', 'pytorch', 'singing-synthesis', 'singing-voice-synthesis']",An opensource music processing toolkit
maclory/deep-iterative-collaboration,Maclory/Deep-Iterative-Collaboration,"['image-restoration', 'super-resolution', 'face-hallucination', 'deep-learning', 'computer-vision', 'iterative-reconstruction']",Pytorch implementation of Deep Face Super-Resolution with Iterative Collaboration between Attentive Recovery and Landmark Estimation (CVPR 2020)
ranchlai/mandarin-tts,ranchlai/mandarin-tts,"['tts', 'tts-chinese', 'tts-hanzi', 'tacotron', 'pytorch', 'fastspeech2', 'aishell3', 'multi-speaker']","Chinese Mandarin tts text-to-speech  中文 (普通话) 语音 合成 , by fastspeech 2 , implemented in pytorch, using waveglow as vocoder,  with biaobei and aishell3 datasets"
microsoft/rat-sql,microsoft/rat-sql,"['program-synthesis', 'semantic-parsing', 'nlp', 'question-answering', 'dbqa', 'nl2sql', 'transformers']",A relation-aware semantic parsing model from English to SQL
torchsynth/torchsynth,torchsynth/torchsynth,"['audio', 'synthesizers', 'gpu', 'torch', 'machine-learning', 'pytorch']","A GPU-optional modular synthesizer in pytorch, 16200x faster than realtime, for audio ML researchers."
neuml/tldrstory,neuml/tldrstory,"['python', 'search', 'nlp', 'machine-learning', 'txtai']",📊 Semantic search for headlines and story text
yzd-v/fgd,yzd-v/FGD,"['object-detection', 'knowledge-distillation', 'deep-learning', 'pytorch']",Focal and Global Knowledge Distillation for Detectors (CVPR 2022)
zhanggongjie/meta-detr,ZhangGongjie/Meta-DETR,"['object-detection', 'few-shot-object-detection', 'meta-learning', 'computer-vision', 'pytorch']",[T-PAMI  2022]  Meta-DETR for Few-Shot Object Detection: Official PyTorch Implementation
tobran/df-gan,tobran/DF-GAN,"['generative-adversarial-network', 'text-to-image']", A Simple and Effective Baseline for Text-to-Image Synthesis (CVPR2022 oral)
jrieke/awesome-machine-learning-startups-berlin,jrieke/awesome-machine-learning-startups-berlin,"['machine-learning', 'artificial-intelligence', 'startups', 'startup', 'berlin', 'germany', 'berlin-startup-jobs', 'deep-learning']",🤖 A curated list of machine learning & artificial intelligence startups in Berlin (Germany)
tzysjtu/sketch-generation-with-drawing-process-guided-by-vector-flow-and-grayscale,TZYSJTU/Sketch-Generation-with-Drawing-Process-Guided-by-Vector-Flow-and-Grayscale,"['computer-vision', 'pencil-drawing', 'python3', 'pytorch', 'numpy']","This is the official implementation of the AAAI 2021 accepted paper ""Sketch Generation with Drawing Process Guided by Vector Flow and Grayscale"""
gsunshine/enjoy-hamburger,Gsunshine/Enjoy-Hamburger,"['attention', 'differentiable-programming', 'implicit', 'deq', 'matrix-factorization', 'optimization']",[ICLR 2021 top 3%] Is Attention Better Than Matrix Decomposition?
saimj7/people-counting-in-real-time,saimj7/People-Counting-in-Real-Time,"['deep-learning', 'centroid-tracking', 'people-counter', 'ip-camera', 'threading', 'opencv', 'covid-19', 'ssd']",People Counting in Real-Time with an IP camera.
alexa/dialoglue,alexa/dialoglue,"['deep-learning', 'natural-language-processing', 'natural-language-understanding', 'machinelearning']",DialoGLUE: A Natural Language Understanding Benchmark for Task-Oriented Dialogue
jonathanking/sidechainnet,jonathanking/sidechainnet,"['machine-learning', 'structural-biology', 'protein-structure', 'deep-learning', 'dataset']",An all-atom protein structure dataset for machine learning.
minar09/cp-vton-plus,minar09/cp-vton-plus,"['cp-vton-plus', 'pytorch', 'pytorch-implementation', 'official-implementation', 'emcom', 'emcom-lab', 'seoultech', 'virtual-try-on', 'image-based', '2d-virtual-try-on', 'virtual-tryon', 'vton']","Official implementation for ""CP-VTON+: Clothing Shape and Texture Preserving Image-Based Virtual Try-On"", CVPRW 2020"
megvii-model/motr,megvii-research/MOTR,"['end-to-end', 'multi-object-tracking', 'pytorch', 'transformer']",[ECCV2022] MOTR: End-to-End Multiple-Object Tracking with TRansformer
hustvl/mimdet,hustvl/MIMDet,"['computer-vision', 'object-detection', 'vision-transformer', 'masked-image-modeling', 'mae', 'transformer', 'instance-segmentation']",MIMDet: Unleashing Vanilla Vision Transformer with Masked Image Modeling for Object Detection
zzh-tech/estrnn,zzh-tech/ESTRNN,"['video-deblurring', 'dataset', 'real-world-data', 'deep-learning', 'deblurring', 'motion-blur', 'eccv2020']",[ECCV2020 Spotlight] Efficient Spatio-Temporal Recurrent Neural Network for Video Deblurring
shengliu66/elr,shengliu66/ELR,"['noisy-labels', 'robust-learning', 'deep-learning', 'statistical-learning']",Official Implementation of Early-Learning Regularization Prevents Memorization of Noisy Labels
artitw/text2text,artitw/text2text,"['bert', 'nlp', 'question-generation', 'natural-language-processing', 'natural-language-generation', 'data-augmentation', 'translator', 'cross-lingual', 'multi-lingual', 'question-answering', 'transformers', 'levenshtein-distance', 'embeddings', 'backtranslation', 'search', 'tf-idf', 'tokenizer', 'information-retrieval', 'summarization']",Text2Text: Crosslingual NLP/G toolkit
pkhungurn/talking-head-anime-3-demo,pkhungurn/talking-head-anime-3-demo,"['ai', 'computer-graphics', 'computer-vision', 'machine-learning', 'pytorch', 'vtuber', 'anime', 'python']","Demo Programs for the ""Talking Head(?) Anime from a Single Image 3: Now the Body Too"" Project"
yzhq97/transmomo.pytorch,yzhq97/transmomo.pytorch,"['motion-retargeting', 'cvpr', 'dance', 'unsupervised-learning', 'generative-adversarial-network']","This is the official PyTorch implementation of the CVPR 2020 paper ""TransMoMo: Invariance-Driven Unsupervised Video Motion Retargeting""."
grammarly/ua-gec,grammarly/ua-gec,"['dataset', 'corpus', 'gec', 'grammatical-error-correction', 'ukrainian-language', 'corpus-data', 'corpus-tools', 'natural-language-processing', 'nlp-datasets']",UA-GEC: Grammatical Error Correction and Fluency Corpus for the Ukrainian Language
kaixhin/imitation-learning,Kaixhin/imitation-learning,"['deep-learning', 'deep-reinforcement-learning', 'imitation-learning']",Imitation learning algorithms
raphaelsty/cherche,raphaelsty/cherche,"['neural-search', 'search', 'searching', 'neural-networks', 'bm25', 'flashtext', 'retrieval', 'reader', 'question-answering', 'nlp', 'information-retrieval', 'natural-language-processing', 'semantic-search', 'vector-search', 'machine-learning']",📑 Neural Search
martinsbruveris/tensorflow-image-models,martinsbruveris/tensorflow-image-models,"['tensorflow', 'imagenet', 'vision-transformer']",TensorFlow port of PyTorch Image Models (timm) - image models with pretrained weights.
ericlee2021-72324/handpose_x,EricLee2021-72324/handpose_x,[],"手部21个关键点检测，二维手势姿态，手势识别，pytorch,handpose"
csuhan/s2anet,csuhan/s2anet,"['object-detection', 'feature-alignment', 'mmdetection', 'pytorch', 'aerial-image-detection']","Official code of the paper ""Align Deep Features for Oriented Object Detection"""
fcakyon/yolov5-pip,fcakyon/yolov5-pip,"['yolo', 'yolov5', 'object-detection', 'pytorch', 'python', 'pip', 'ultralytics', 'yolov3', 'yolov4', 'machine-learning', 'deep-learning', 'computer-vision', 'aws', 'coco', 'neptune', 'neptune-ai', 's3', 'pypi', 'cli']",Packaged version of ultralytics/yolov5 + many extra features
keyu-tian/spark,keyu-tian/SparK,"['bert', 'convnet', 'convolutional-neural-networks', 'masked-image-modeling', 'pre-trained-model', 'self-supervised-learning', 'sparse-convolution', 'ssl', 'cnn', 'iclr', 'iclr2023']","[ICLR'23 Spotlight] The first successful BERT-style pretraining on any *convolutional network*; Pytorch impl. of ""Designing BERT for Convolutional Networks: Sparse and Hierarchical Masked Modeling"""
mindslab-ai/hififace,mindslab-ai/hififace,"['pytorch', 'face-swapping', 'pytorch-lightning', 'wandb']",Unofficial PyTorch Implementation for HifiFace (https://arxiv.org/abs/2106.09965)
turoad/clrnet,Turoad/CLRNet,[],"Pytorch implementation of our paper ""CLRNet: Cross Layer Refinement Network for Lane Detection"" (CVPR2022 Acceptance)."
srush/annotated-s4,srush/annotated-s4,"['deep-learning', 'jax']",Implementation of https://srush.github.io/annotated-s4
yanx27/2dpass,yanx27/2DPASS,"['nuscenes', 'semantic-segmentation', 'semantickitti', 'lidar-point-cloud', 'deep-learning', 'knowledge-distillation', 'pytorch']",2DPASS: 2D Priors Assisted Semantic Segmentation on LiDAR Point Clouds (ECCV 2022) :fire:
castorini/daam,castorini/daam,"['explainable-ai', 'huggingface', 'pytorch', 'stable-diffusion', 'generative-ai', 'diffusion']",Diffusion attentive attribution maps for interpreting Stable Diffusion.
kaushikjadhav01/stock-market-prediction-web-app-using-machine-learning-and-sentiment-analysis,kaushikjadhav01/Stock-Market-Prediction-Web-App-using-Machine-Learning-And-Sentiment-Analysis,"['stock-market', 'stock-price-prediction', 'flask', 'twitter', 'tweepy', 'sentiment-analysis', 'machine-learning', 'arima', 'lstm', 'linear-regression', 'python', 'yfinance', 'alphavantage', 'keras', 'tensorflow', 'wordpress']","Stock Market Prediction Web App based on Machine Learning and Sentiment Analysis of Tweets (API keys included in code). The front end of the Web App is based on Flask and Wordpress. The App forecasts stock prices of the next seven days for any given stock under NASDAQ or NSE as input by the user. Predictions are made using three algorithms: ARIMA, LSTM, Linear Regression. The Web App combines the predicted prices of the next seven days with the sentiment analysis of tweets to give recommendation whether the price is going to rise or fall"
alphajia/pytorch-faster-rcnn,AlphaJia/pytorch-faster-rcnn,"['faster-rcnn', 'pytorch', 'detection']",pytorch based implementation faster rcnn
iduta/pyconv,iduta/pyconv,"['image-recognition', 'imagenet', 'pytorch', 'deep-learning', 'convolutional-neural-networks', 'residual-networks', 'residual-learning', 'cnn', 'computer-vision', 'deep-neural-networks', 'neural-network', 'artificial-intelligence', 'pattern-recognition', 'pyconv', 'machine-learning']",Pyramidal Convolution: Rethinking Convolutional Neural Networks for Visual Recognition (https://arxiv.org/pdf/2006.11538.pdf)
raivokoot/video-dataset-loading-pytorch,RaivoKoot/Video-Dataset-Loading-Pytorch,"['pytorch', 'machine-learning', 'dataloader', 'deep-learning', 'video-dataset', 'action-recognition', 'videos']",Generic PyTorch dataset implementation to load and augment VIDEOS for deep learning training loops.
kevinmusgrave/pytorch-adapt,KevinMusgrave/pytorch-adapt,"['pytorch', 'domain-adaptation', 'machine-learning', 'deep-learning', 'transfer-learning', 'computer-vision']","Domain adaptation made easy. Fully featured, modular, and customizable."
erre-quadro/spikex,erre-quadro/spikex,"['spacy', 'spacy-pipes', 'nlp', 'named-entity-recognition', 'entity-linking', 'wikipedia', 'sentence-splitting', 'abbreviations-detection', 'acronym-recognition', 'noun-phrase-extract', 'verb-phrase-extract', 'clustering', 'wikigraph', 'wikipedia-graph']",SpikeX - SpaCy Pipes for Knowledge Extraction
wuzhihao7788/yolodet-pytorch,wuzhihao7788/yolodet-pytorch,"['yolov5', 'yolov4', 'ppyolo', 'yolov3', 'pytorch', 'object-detection', 'yolov5-yolov3', 'yolo']","reproduce the YOLO series of papers in pytorch, including YOLOv4, PP-YOLO, YOLOv5，YOLOv3, etc."
chonyy/ml-auto-baseball-pitching-overlay,chonyy/ML-auto-baseball-pitching-overlay,"['baseball', 'pitch', 'machine-learning', 'ai', 'artificial-intelligence', 'data-science', 'sport', 'object-detection', 'pose-estimation', 'yolov4', 'deep-learning']",⚾🤖⚾ Automatic baseball pitching overlay in realtime
bubbliiiing/efficientdet-pytorch,bubbliiiing/efficientdet-pytorch,[],这是一个efficientdet-pytorch的源码，可以用于训练自己的模型。
patrick-kidger/torchcde,patrick-kidger/torchcde,"['time-series', 'machine-learning', 'neural-differential-equations', 'controlled-differential-equations', 'deep-learning', 'deep-neural-networks', 'pytorch', 'dynamical-systems', 'differential-equations', 'neural-networks']",Differentiable controlled differential equation solvers for PyTorch with GPU support and memory-efficient adjoint backpropagation.
cheerss/crossformer,cheerss/CrossFormer,"['pytorch', 'object-detection', 'deep-learning', 'semantic-segmentation', 'vision-transformer', 'classification', 'instance-segmentation']",The official code for the paper: https://openreview.net/forum?id=_PHymLIxuI
ppogg/shufflev2-yolov5,ppogg/YOLOv5-Lite,"['ncnn', 'yolov5', 'android-app', 'mnn', 'shufflenetv2', 'repvgg', 'transformer', 'tensorrt', 'pplcnet', 'openvivo', 'mobilenet', 'tflite', 'pytorch', 'picodet', 'onnxruntime']","🍅🍅🍅YOLOv5-Lite: lighter, faster and easier to deploy. Evolved from yolov5 and the size of model is only 930+kb (int8) and 1.7M (fp16). It can reach 10+ FPS on the Raspberry Pi 4B when the input size is 320×320~"
ha0tang/xinggan,Ha0Tang/XingGAN,"['image-generation', 'generation', 'eccv-2020', 'appearance-features', 'shape-features', 'feature-fusion', 'non-local', 'crossing', 'eccv2020', 'pytorch', 'deepfashion', 'selectiongan']",[ECCV 2020] XingGAN for Person Image Generation
iigroup/tedigan,IIGROUP/TediGAN,"['image-synthesis', 'gan-inversion', 'cvpr2021']",[CVPR 2021] Pytorch implementation for TediGAN: Text-Guided Diverse Face Image Generation and Manipulation
yeyupiaoling/voiceprintrecognition-pytorch,yeyupiaoling/VoiceprintRecognition-Pytorch,"['pytorch', 'voice-recognition', 'arcface', 'speaker-recognition', 'ecapa-tdnn']",本项目使用了EcapaTdnn模型实现的声纹识别
confusezius/revisiting_deep_metric_learning_pytorch,Confusezius/Revisiting_Deep_Metric_Learning_PyTorch,"['deep-learning', 'metric-learning', 'deep-metric-learning', 'image-retrieval', 'cub200-2011', 'cars196', 'stanford-online-products', 'wandb', 'icml2020']","(ICML 2020) This repo contains code for our paper ""Revisiting Training Strategies and Generalization Performance in Deep Metric Learning"" (https://arxiv.org/abs/2002.08473) to facilitate consistent research in the field of Deep Metric Learning."
kumapowerliu/rethinking-inpainting-medfe,KumapowerLIU/Rethinking-Inpainting-MEDFE,"['inpainting', 'activation-functions', 'generative-adversarial-network', 'eccv-2020']",Rethinking Image Inpainting via a Mutual Encoder Decoder with Feature Equalizations. ECCV 2020 Oral
google-research/fast-soft-sort,google-research/fast-soft-sort,"['differentiable', 'sorting', 'ranking', 'pytorch', 'tensorflow', 'jax']",Fast Differentiable Sorting and Ranking
enlite-ai/maze,enlite-ai/maze,"['reinforcement-learning', 'python', 'machine-learning', 'simulation', 'deep-learning', 'monitoring', 'distributed', 'documentation', 'data-science', 'framework', 'applied-machine-learning', 'optimization', 'decision-making', 'automation']",Maze Applied Reinforcement Learning Framework
jankrepl/mildlyoverfitted,jankrepl/mildlyoverfitted,"['pytorch', 'tutorial', 'deep-learning', 'youtube']",Paper implementations from scratch and machine learning tutorials
qinzheng93/geotransformer,qinzheng93/GeoTransformer,"['point-cloud-registration', 'transformer', 'computer-vision', 'deep-learning', 'neural-network', 'point-cloud', 'pytorch', 'attention-mechanism', 'registration']",[CVPR2022] Geometric Transformer for Fast and Robust Point Cloud Registration
sisinflab/elliot,sisinflab/elliot,"['recommender-system', 'machine-learning', 'collaborative-filtering', 'content-based-recommendation', 'bprmf', 'matrix-factorization', 'vae', 'svdpp', 'funksvd', 'slim', 'neural-collaborative-filtering', 'k-nn', 'k-nearest-neighbours', 'nfm', 'knowledge-graph', 'recommendations', 'tensorflow2', 'keras', 'deepfm']",Comprehensive and Rigorous Framework for Reproducible Recommender Systems Evaluation
tatp22/multidim-positional-encoding,tatp22/multidim-positional-encoding,"['tensorflow', 'pytorch', 'deep-learning']","An implementation of 1D, 2D, and 3D positional encoding in Pytorch and TensorFlow"
jeff-sjtu/res-loglikelihood-regression,Jeff-sjtu/res-loglikelihood-regression,"['pytorch', 'human-pose-estimation', 'iccv', 'iccv2021', 'regression', '2d-human-pose', '3d-human-pose']","Code for ""Human Pose Regression with Residual Log-likelihood Estimation"", ICCV 2021 Oral"
kahst/birdnet-analyzer,kahst/BirdNET-Analyzer,"['bioacoustics', 'birds', 'birdsong', 'acoustic-monitoring', 'deep-learning']",BirdNET analyzer for scientific audio data processing.
cwlroda/falldetection_openpifpaf,cwlroda/falldetection_openpifpaf,"['openpifpaf', 'detection', 'human-pose-estimation', 'computer-vision', 'deep-learning', 'composite-fields', 'video-analytics', 'object-tracking', 'gpu', 'cpu', 'fall-detection']",Fall Detection using OpenPifPaf's Human Pose Estimation model
datacanvasio/hypernets,DataCanvasIO/Hypernets,"['neural-architecture-search', 'hyperparameter-optimization', 'hyperparameter-tuning', 'evolutionary-algorithms', 'monte-carlo-tree-search', 'automl', 'autodl', 'reinforcement-learning', 'mcts', 'nas', 'keras', 'nasnet', 'enas']",A General Automated Machine Learning framework to simplify the development of End-to-end AutoML toolkits in specific domains.
jiawangbian/sc_depth_pl,JiawangBian/sc_depth_pl,"['depth-estimation', 'deep-learning', 'self-supervised-learning', 'pose-estimation', 'computer-vision']","SC-Depth (V1, V2, and V3) for Unsupervised Monocular Depth Estimation  Webpage:https://jiawangbian.github.io/sc_depth_pl/"
tianyu0207/rtfm,tianyu0207/RTFM,"['pytorch', 'deep-learning', 'anomaly-detection', 'video-anomaly-detection']",Official code for 'Weakly-supervised Video Anomaly Detection with Robust Temporal Feature Magnitude Learning' [ICCV 2021]
shoufachen/cyclemlp,ShoufaChen/CycleMLP,"['pytorch', 'mlp', 'backbone-models']","[ICLR'22 Oral] Implementation of ""CycleMLP: A MLP-like Architecture for Dense Prediction"""
zhanggongjie/sam-detr,ZhangGongjie/SAM-DETR,"['pytorch', 'object-detection', 'detr', 'computer-vision', 'transformer', 'detection', 'vision-transformer', 'deep-learning', 'vision', 'machine-learning', 'cvpr', 'cvpr2022']",[CVPR'2022] SAM-DETR & SAM-DETR++: Official PyTorch Implementation
mmaaz60/edgenext,mmaaz60/EdgeNeXt,"['classification', 'cnn', 'edge-computing', 'hybrid-model', 'mobile-application', 'transformers']","[CADL'22, ECCVW] Official repository of paper titled ""EdgeNeXt: Efficiently Amalgamated CNN-Transformer Architecture for Mobile Vision Applications""."
neomatrix369/nlp_profiler,neomatrix369/nlp_profiler,"['nlp', 'nlp-library', 'nlp-parsing', 'nlp-keywords-extraction', 'nlp-machine-learning', 'text-mining', 'natural-language-processing', 'nlp-profiler', 'kaggle-kernels', 'google-colab', 'jupyter', 'profiling-datasets', 'grammar-checks', 'profiler', 'profiling', 'hacktoberfest']","A simple NLP library allows profiling datasets with one or more text columns. When given a dataset and a column name containing text data, NLP Profiler will return either high-level insights or low-level/granular statistical information about the text in that column."
alibaba-research/chineseblue,alibaba-research/ChineseBLUE,"['benchmark', 'bert', 'chinese', 'biomedical', 'medical', 'natural-language-processing']",Chinese Biomedical Language Understanding Evaluation benchmark (ChineseBLUE)
ekzhang/fastseg,ekzhang/fastseg,"['computer-vision', 'semantic-segmentation', 'mobilenetv3', 'efficientnet', 'deep-learning', 'cityscapes', 'kitti-dataset', 'mapillary-vistas-dataset', 'edge-computing', 'pytorch', 'aspp', 'deeplabv3']","📸 PyTorch implementation of MobileNetV3 for real-time semantic segmentation, with pretrained weights & state-of-the-art performance"
endlesssora/tsit,EndlessSora/TSIT,"['generative-adversarial-network', 'gan', 'image-to-image-translation', 'image-generation', 'image-manipulation', 'two-stream-networks', 'versatile', 'feature-transformation', 'multi-scale', 'style-transfer', 'multi-modal', 'semantic-image-synthesis', 'eccv2020']",[ECCV 2020 Spotlight] A Simple and Versatile Framework for Image-to-Image Translation
fedml-ai/fednlp,FedML-AI/FedNLP,"['federated-learning', 'natural-language-processing', 'nlp', 'machine-learning']","FedNLP: An Industry and Research Integrated Platform for Federated Learning in Natural Language Processing, Backed by FedML, Inc. The Previous Research Version is Accepted to NAACL 2022"
keonlee9420/portaspeech,keonlee9420/PortaSpeech,"['text-to-speech', 'normalizing-flows', 'generative-model', 'deep-neural-networks', 'pytorch', 'tts', 'speech-synthesis', 'neural-tts', 'non-autoregressive', 'portable-tts', 'vae', 'fastspeech', 'hifi-gan', 'non-ar', 'mel-gan', 'high-quality']",PyTorch Implementation of PortaSpeech: Portable and High-Quality Generative Text-to-Speech
yuanmingqi/rl-exploration-baselines,yuanmingqi/rl-exploration-baselines,"['reinforcement-learning', 'efficient-algorithm', 'exploration-strategy', 'baselines', 'gym', 'machine-learning', 'pybullet', 'pytorch', 'robotics', 'toolbox']","RLeXplore provides stable baselines of exploration methods in reinforcement learning, such as intrinsic curiosity module (ICM), random network distillation (RND) and rewarding impact-driven exploration (RIDE)."
danijar/crafter,danijar/crafter,"['artificial-intelligence', 'reinforcement-learning', 'minecraft', 'environment', 'simulation', 'deep-learning']",Benchmarking the Spectrum of Agent Capabilities
zumolabs/zpy,ZumoLabs/zpy,"['ml', 'ai', 'data', 'synthetic', 'blender', 'python', 'synthetic-data', 'blender-addon', 'deep-learning', 'computer-vision']",Synthetic data for computer vision. An open source toolkit using Blender and Python.
liuruoze/mini-alphastar,liuruoze/mini-AlphaStar,"['mini-alphastar', 'supervised-learning', 'reinforcement-learning', 'starcraft2', 'deep-learning', 'pytorch', 'self-playing-bot', 'multi-agent-systems', 'gaming', 'imitation-learning', 'starcraft2-ai', 'starcraft-ii-bot', 'sc2replay', 'deep-reinforcement-learning', 'deep-neural-networks']",A mini-scale reproduction code of the AlphaStar program. Note: the original AlphaStar is the AI proposed by DeepMind to play StarCraft II.
wenwenyu/master-pytorch,wenwenyu/MASTER-pytorch,"['scene-text-recognition', 'transformer', 'self-attention', 'non-local-network', 'ocr']","Code for the paper ""MASTER: Multi-Aspect Non-local Network for Scene Text Recognition"" (Pattern Recognition 2021)"
